Cell,area_x,Y,X,area_y,perimeter,major_axis_length,minor_axis_length,eccentricity,solidity,extent,circularity,aspect_ratio,DAPI_mean,DAPI_median,DAPI_std,DAPI_p10,DAPI_p90,DAPI_sum,Alexa_mean,Alexa_median,Alexa_std,Alexa_p10,Alexa_p90,Alexa_sum,Cy3_mean,Cy3_median,Cy3_std,Cy3_p10,Cy3_p90,Cy3_sum,Alexa_pos,Cy3_pos,Cy3_organel_area_px,Cy3_puncta_count,Above_bg,Region
196,513.0,939.0974658869395,186.65302144249512,513.0,82.18376618407356,28.202277083703702,23.317029658314947,0.5625279583488986,0.9771428571428571,0.7892307692307692,0.9544543246370559,1.209514140393378,0.28252872824668884,0.28071287274360657,0.18884441256523132,0.0,0.5612626314163208,144.93724060058594,0.04264441877603531,0.0,0.07928811013698578,0.0,0.1683646410703662,21.8765869140625,0.29035690426826477,0.27427512407302856,0.07455267012119293,0.21122565865516663,0.4074430286884308,148.95309448242188,False,False,0,5,True,Anterior
197,269.0,418.5539033457249,755.7546468401487,269.0,61.45584412271571,22.861143182451993,15.11596181154351,0.7502029714980157,0.9471830985915493,0.7642045454545454,0.8950262389985315,1.5123842906902405,0.25280722975730896,0.19096380472183228,0.23375090956687927,0.0,0.5739681243896484,68.00514221191406,0.07843626290559769,0.0,0.14516130089759827,0.0,0.3310858726501465,21.099353790283203,0.4288192093372345,0.4155319333076477,0.10011354833841324,0.3185287594795227,0.5743377804756165,115.35237121582031,True,True,0,6,True,Anterior
198,64.0,402.34375,973.359375,64.0,28.14213562373095,10.046735618149402,8.207074519523273,0.5767939588594846,0.927536231884058,0.7111111111111111,1.0154901954491722,1.2241555251204166,0.3884830176830292,0.3977859914302826,0.2416372150182724,0.0,0.5977900624275208,24.862913131713867,0.3566356897354126,0.3298599123954773,0.354841411113739,0.0,0.9618002295494079,22.824684143066406,0.4532967209815979,0.45336073637008667,0.06640482693910599,0.37253722846508025,0.5341401934623718,29.010990142822266,True,True,0,2,True,Anterior
199,314.0,110.87898089171975,496.812101910828,314.0,66.8700576850888,24.30708159458868,16.674010142904656,0.7276266664692579,0.9573170731707317,0.7696078431372549,0.8824215718542452,1.4577825841693006,0.47237417101860046,0.335884690284729,0.23216770589351654,0.3126939177513123,0.7237873196601867,148.3254852294922,0.08446865528821945,0.0,0.13739408552646637,0.0,0.3611322969198227,26.523157119750977,0.46675392985343933,0.4627697467803955,0.07085282355546951,0.3827871590852737,0.5563901364803314,146.56072998046875,True,True,0,9,True,Marginal
200,401.0,313.74563591022445,849.1197007481297,401.0,73.59797974644665,23.596398280759374,21.789983336135204,0.3837300595311074,0.9570405727923628,0.7264492753623188,0.9302987775509485,1.08290116227985,0.15967105329036713,0.1874464750289917,0.20293329656124115,0.0,0.3832218647003174,64.02809143066406,0.06122451275587082,0.0,0.15777000784873962,0.0,0.1326722502708435,24.551029205322266,0.3825259804725647,0.3823060393333435,0.09077607095241547,0.2526344656944275,0.503886342048645,153.39291381835938,False,True,0,5,True,Anterior
201,860.0,27.40232558139535,639.3127906976745,860.0,108.91168824543142,35.46665522140289,31.188074464819362,0.4761514590281135,0.9728506787330317,0.7678571428571429,0.911085919937885,1.13718643520009,0.22657649219036102,0.2822391986846924,0.19144731760025024,0.0,0.5538081407546998,194.8557891845703,0.11754021048545837,0.09084350615739822,0.1258077323436737,0.0,0.3136568784713745,101.08457946777344,0.3898419141769409,0.39020073413848877,0.08426614105701447,0.27933899462223055,0.5025829017162323,335.2640380859375,True,True,0,8,True,Marginal
202,77.0,651.8051948051948,332.0,77.0,30.727922061357855,11.181257801995196,8.773237232627118,0.619954485073926,0.9390243902439024,0.7777777777777778,1.0247884074778726,1.2744734361465573,0.31429022550582886,0.38643380999565125,0.18863879144191742,0.0,0.5809062242507934,24.200347900390625,0.0390041321516037,0.0,0.06978094577789307,0.0,0.14654731452465058,3.0033183097839355,0.2596510350704193,0.2653519809246063,0.048703908920288086,0.18535611629486085,0.32621656656265263,19.99312973022461,False,False,0,1,False,Anterior
203,2192.0,757.7509124087592,165.56660583941607,2192.0,222.54520189781084,96.53833243432409,29.768728328458455,0.9512691713007748,0.9245044285111768,0.5423057892132608,0.5561781757404761,3.2429444539636214,0.2339181900024414,0.0,0.3027785122394562,0.0,0.6922673046588897,512.7486572265625,0.10272204875946045,0.0,0.19007134437561035,0.0,0.35734252333641064,225.16673278808594,0.6499606370925903,0.6303605437278748,0.25971129536628723,0.33242819607257845,1.0,1424.7137451171875,True,True,0,26,True,Anterior
204,80.0,949.625,399.5875,80.0,30.727922061357855,10.520991423516202,9.661068236292431,0.3959641852772272,0.9411764705882353,0.8,1.064715228548439,1.0890091205435661,0.5660440325737,0.4561772048473358,0.2835651934146881,0.22126191407442092,1.0,45.28352355957031,0.14104712009429932,0.040444888174533844,0.1894972026348114,0.0,0.40578308701515253,11.283769607543945,0.29103511571884155,0.2948918044567108,0.04147108271718025,0.22969232350587845,0.33590145111083985,23.28281021118164,True,False,0,2,True,Anterior
205,125.0,112.688,367.256,125.0,40.384776310850235,14.048740176216949,11.38537744043419,0.5858495715403214,0.9328358208955224,0.7440476190476191,0.963129119539889,1.2339283655475535,0.7229310274124146,0.5383418798446655,0.25153952836990356,0.5132953882217407,1.0,90.36637878417969,0.05704512819647789,0.0,0.08823026716709137,0.0,0.20786210894584656,7.130640983581543,0.4599091708660126,0.45380908250808716,0.0724552646279335,0.37432663440704345,0.5574276566505433,57.4886474609375,False,True,0,5,True,Marginal
