label,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
105,428.0,914.1355140186915,434.19392523364485,901,424,927,445
106,906.0,999.6401766004415,415.20309050772624,984,396,1017,435
107,692.0,429.67052023121386,655.6083815028902,413,641,449,668
108,522.0,308.6264367816092,949.44061302682,297,938,323,964
109,803.0,369.30261519302616,210.56911581569116,353,196,388,226
110,782.0,395.1393861892583,367.9680306905371,381,352,410,385
111,95.0,585.6736842105263,226.16842105263157,581,221,592,233
112,1146.0,128.75305410122164,1004.1378708551483,111,986,147,1023
113,986.0,177.13995943204867,1002.6592292089249,160,983,195,1022
114,1060.0,537.7103773584905,965.4254716981133,517,950,559,983
115,314.0,534.4203821656051,492.4203821656051,525,483,546,503
116,246.0,787.069105691057,796.930894308943,777,790,797,806
117,897.0,155.11928651059085,709.9542920847268,132,695,178,724
118,678.0,686.7227138643068,443.1401179941003,672,428,703,459
119,755.0,84.60264900662251,169.57748344370862,71,154,101,186
120,799.0,263.8510638297872,409.4630788485607,249,393,281,425
121,552.0,566.6358695652174,784.052536231884,551,774,585,796
122,1268.0,366.50552050473186,777.2452681388013,345,759,388,798
123,1211.0,971.9331131296449,373.737407101569,948,355,998,392
124,1518.0,66.45256916996047,659.0823451910409,46,635,88,682
125,1039.0,446.31761308950917,946.6958614051973,426,930,468,965
126,367.0,417.4032697547684,62.53405994550409,409,50,426,76
127,604.0,244.64900662251657,668.432119205298,230,656,262,683
128,810.0,126.31975308641975,303.1901234567901,111,285,142,322
129,1147.0,717.1795989537925,891.56320836966,695,875,741,907
130,137.0,220.1897810218978,586.6788321167883,213,580,228,594
131,855.0,84.46315789473684,868.8666666666667,68,851,101,887
132,87.0,652.2298850574713,495.3103448275862,647,490,658,501
133,874.0,665.5034324942792,939.2929061784897,650,923,683,957
134,438.0,385.2922374429224,56.009132420091326,372,46,401,67
135,178.0,135.53370786516854,241.25842696629215,127,235,144,250
136,419.0,677.5727923627685,245.7255369928401,666,234,689,258
137,80.0,445.8375,271.2,441,266,452,277
138,228.0,701.7543859649123,547.2675438596491,693,540,712,555
139,139.0,726.6906474820144,443.1438848920863,719,438,735,450
140,891.0,84.9753086419753,789.0280583613917,68,773,103,805
141,129.0,189.3875968992248,578.077519379845,183,572,197,585
142,108.0,641.3425925925926,500.47222222222223,636,495,648,507
143,770.0,461.4415584415584,553.7974025974027,448,534,476,575
144,334.0,116.45209580838323,764.7335329341317,107,755,128,776
145,753.0,629.2111553784861,394.4528552456839,614,377,644,415
146,830.0,784.2289156626506,386.73855421686744,766,374,804,401
147,447.0,870.6263982102909,774.6599552572707,859,763,883,787
148,343.0,391.65597667638485,539.7551020408164,375,530,405,548
149,518.0,151.01737451737452,477.27799227799227,134,465,170,489
150,337.0,570.1661721068249,626.0504451038576,558,617,583,637
151,723.0,366.6154910096819,333.3554633471646,350,320,386,348
152,93.0,483.0752688172043,221.49462365591398,478,215,489,228
153,615.0,175.43739837398374,907.1853658536585,162,894,190,922
154,504.0,71.33730158730158,610.7420634920635,60,599,84,625
155,740.0,603.168918918919,405.0391891891892,588,390,619,421
156,497.0,830.5311871227365,159.4788732394366,819,147,843,174
157,888.0,375.4144144144144,486.1295045045045,358,471,395,502
158,174.0,514.9597701149426,327.17241379310343,508,319,523,336
159,996.0,341.15562248995985,926.4056224899598,322,910,360,945
160,223.0,430.085201793722,278.4304932735426,422,271,439,288
161,750.0,93.88533333333334,752.4626666666667,78,737,111,770
162,647.0,247.67542503863987,550.5347758887171,230,537,267,565
163,620.0,934.7564516129032,427.40806451612906,924,412,947,446
164,222.0,31.824324324324323,739.9414414414415,23,731,41,752
165,940.0,466.23297872340424,755.3627659574468,451,732,480,777
166,78.0,443.78205128205127,400.21794871794873,439,395,449,406
167,761.0,129.36268068331142,394.24704336399475,116,373,142,417
168,99.0,131.7070707070707,75.93939393939394,126,71,138,82
169,443.0,27.130925507900677,711.3250564334086,16,697,38,729
170,1319.0,250.59438968915845,592.013646702047,231,573,272,612
171,793.0,111.46153846153847,898.2484237074401,95,883,127,914
172,232.0,138.85344827586206,332.82327586206895,131,324,147,344
173,348.0,508.2844827586207,229.18965517241378,498,220,520,240
174,162.0,290.7716049382716,300.2345679012346,284,293,299,308
175,541.0,652.2236598890943,624.2513863216266,634,615,672,635
176,111.0,336.3693693693694,310.2432432432432,331,304,343,317
177,1284.0,205.047507788162,717.0366043613707,182,700,229,735
178,684.0,459.093567251462,481.82456140350877,444,468,476,496
179,368.0,64.97010869565217,748.616847826087,55,737,75,762
180,957.0,882.1431556948799,81.54649947753396,861,68,903,97
181,363.0,60.5564738292011,698.6556473829202,52,687,71,714
182,1533.0,37.99934768427919,17.349641226353555,15,0,61,38
183,135.0,633.5925925925926,495.22222222222223,628,488,641,504
184,943.0,706.7815482502651,693.6935312831389,692,673,722,716
185,692.0,181.51878612716763,343.8005780346821,169,326,194,363
186,99.0,270.35353535353534,298.3939393939394,265,294,277,304
187,334.0,483.21556886227546,394.15868263473055,471,385,495,405
188,308.0,737.6006493506494,402.18506493506493,727,394,749,411
189,73.0,646.4931506849315,280.4931506849315,642,276,652,286
190,1042.0,805.6976967370441,653.6708253358925,788,636,825,673
191,492.0,410.020325203252,594.69918699187,396,584,424,608
192,52.0,489.96153846153845,196.17307692307693,486,193,495,200
193,83.0,639.7349397590361,273.6265060240964,635,269,645,280
194,872.0,286.3784403669725,886.1422018348624,268,870,305,901
195,714.0,243.46218487394958,171.3641456582633,226,160,264,184
196,589.0,282.89473684210526,1006.5568760611205,271,993,296,1022
197,66.0,172.1818181818182,543.6060606060606,167,540,178,548
198,608.0,355.04111842105266,566.514802631579,341,553,372,581
199,217.0,696.5437788018434,734.9723502304147,688,728,706,744
200,409.0,515.4865525672371,484.07334963325184,504,473,528,496
201,813.0,820.7343173431734,604.7466174661747,804,588,837,622
202,728.0,738.9244505494505,565.5782967032967,722,553,757,579
203,95.0,115.71578947368421,89.77894736842106,110,85,123,96
204,1168.0,385.7679794520548,671.4486301369863,364,656,409,689
205,227.0,53.77092511013216,771.4933920704846,46,762,62,783
206,490.0,933.9,938.2163265306123,919,928,950,950
207,62.0,608.1935483870968,332.48387096774195,604,329,613,337
208,360.0,597.2361111111111,705.3305555555555,585,695,611,716
209,1050.0,733.0990476190476,932.8019047619048,715,909,749,954
210,466.0,541.4828326180258,163.293991416309,529,151,554,177
211,267.0,445.6292134831461,572.3183520599251,435,565,457,581
212,1385.0,890.8072202166065,761.5205776173285,866,741,916,784
213,755.0,299.92450331125826,380.6132450331126,285,365,317,396
214,128.0,901.234375,659.6875,894,655,910,665
215,651.0,808.5299539170506,780.6635944700461,795,766,822,797
216,742.0,932.8921832884097,73.86927223719677,917,61,951,89
217,159.0,800.9559748427673,136.28301886792454,794,130,809,144
218,81.0,995.7654320987655,614.0370370370371,991,609,1001,620
219,391.0,544.2199488491049,471.2915601023018,531,462,558,481
220,523.0,685.2504780114723,216.82791586998087,670,207,701,228
221,1146.0,163.30715532286212,427.12303664921467,145,399,185,447
222,449.0,498.1336302895323,376.6057906458797,487,364,509,391
223,583.0,347.54373927958835,265.35849056603774,337,250,359,285
224,1223.0,147.63286999182338,743.1308258381031,127,725,170,762
225,68.0,696.7794117647059,119.8970588235294,692,116,702,125
226,154.0,732.0714285714286,419.538961038961,725,413,739,428
227,841.0,85.70749108204518,580.640903686088,65,564,105,595
228,298.0,497.31208053691273,213.59060402684563,487,206,509,224
229,916.0,208.6495633187773,508.44541484716154,193,489,229,529
230,608.0,458.9769736842105,52.875,442,41,475,68
231,1053.0,58.329534662868,532.2231718898386,41,512,83,553
232,1385.0,873.9725631768953,876.472202166065,855,857,895,899
233,329.0,99.419452887538,35.97568389057751,90,25,109,47
234,2518.0,538.3471008737093,725.2057188244638,499,703,570,754
235,321.0,589.9470404984423,599.8598130841121,580,590,603,609
236,86.0,116.97674418604652,145.8372093023256,112,141,123,151
237,346.0,578.7312138728323,205.47687861271677,568,195,592,215
238,282.0,535.0460992907801,191.50709219858157,525,183,545,201
239,460.0,860.9717391304348,614.9739130434782,847,604,875,627
240,508.0,1004.0669291338583,238.60629921259843,992,225,1017,253
241,603.0,678.5522388059702,745.4958540630182,662,735,696,758
242,786.0,394.9147582697201,140.65139949109414,381,124,411,158
243,807.0,431.36059479553904,118.71251548946717,414,103,446,136
244,82.0,485.280487804878,441.0243902439024,481,435,490,448
245,364.0,724.717032967033,470.3076923076923,714,459,736,483
246,85.0,461.94117647058823,220.48235294117646,457,215,467,226
247,2315.0,236.7892008639309,469.2112311015119,213,432,259,512
248,1304.0,826.1901840490798,685.2078220858896,807,661,844,710
249,873.0,608.8453608247422,766.3253150057274,595,745,623,788
250,420.0,137.23095238095237,614.6928571428572,124,605,151,625
251,721.0,374.2024965325936,927.3550624133148,362,910,389,946
252,451.0,284.3037694013304,947.8580931263858,273,935,296,963
253,737.0,274.47082767978293,833.3161465400271,257,818,291,848
254,932.0,811.4248927038626,510.343347639485,795,495,831,528
255,553.0,325.01808318264017,984.3092224231465,312,971,338,999
256,289.0,428.6228373702422,450.3114186851211,418,441,439,461
257,142.0,742.0985915492957,256.4788732394366,735,251,750,263
258,1386.0,688.0714285714286,813.5721500721501,667,791,709,835
259,1141.0,746.1595092024539,1001.4548641542507,723,984,769,1019
260,445.0,588.7662921348315,239.2808988764045,575,227,603,250
261,651.0,121.59447004608295,165.46082949308754,106,154,140,178
262,624.0,829.2275641025641,545.2708333333334,815,529,845,561
263,90.0,577.8444444444444,473.18888888888887,572,469,585,479
264,387.0,706.1343669250646,853.7855297157623,696,843,718,867
265,498.0,439.8152610441767,915.2510040160643,427,905,455,929
266,595.0,423.0655462184874,99.17815126050421,404,88,445,112
267,696.0,672.2025862068965,379.2772988505747,657,364,688,394
268,598.0,722.3745819397993,56.59364548494983,709,43,737,71
269,237.0,724.1181434599156,106.70464135021098,716,98,733,117
270,53.0,522.4150943396227,432.3207547169811,519,429,527,437
271,558.0,924.3458781362007,119.8405017921147,910,106,941,136
272,62.0,424.5,508.758064516129,421,504,429,514
273,929.0,863.7728740581271,230.28202368137784,843,217,886,245
274,849.0,319.5535924617197,570.9740871613664,302,553,336,591
275,1218.0,221.21510673234812,281.4975369458128,201,255,253,303
276,616.0,269.6055194805195,149.89285714285714,259,130,281,169
277,537.0,111.32960893854748,856.1527001862197,98,846,127,870
278,85.0,776.7529411764706,255.31764705882352,772,250,782,262
279,545.0,754.5449541284404,8.469724770642202,739,0,774,21
280,63.0,753.5873015873016,448.2063492063492,749,445,759,453
281,707.0,368.6605374823197,602.8698727015559,355,588,386,620
282,1180.0,806.6762711864407,65.16101694915254,787,46,825,86
283,543.0,395.96132596685084,615.5506445672191,382,602,410,629
284,764.0,541.5824607329843,50.32853403141361,528,31,557,70
285,773.0,220.9327296248383,983.2367399741267,205,969,237,999
286,421.0,329.1187648456057,132.27553444180523,317,123,345,144
287,784.0,401.9323979591837,329.3724489795918,383,316,424,348
288,621.0,340.610305958132,505.9484702093398,329,489,354,525
289,748.0,117.8970588235294,263.83288770053474,104,247,132,280
290,568.0,654.2147887323944,69.35915492957747,640,57,669,83
291,606.0,347.15181518151815,591.2475247524752,333,576,362,607
292,621.0,548.3059581320451,14.518518518518519,535,0,561,34
293,558.0,622.7383512544803,788.6594982078853,606,768,636,803
294,1016.0,48.523622047244096,622.9064960629921,37,594,62,653
295,60.0,591.5,572.2,587,568,596,577
296,866.0,271.30600461893766,628.5635103926097,255,612,291,646
297,217.0,86.54838709677419,22.76958525345622,79,15,95,33
298,296.0,753.9594594594595,825.6587837837837,743,817,766,836
299,68.0,794.0441176470588,752.0,789,748,799,757
300,1552.0,636.9065721649484,1004.9729381443299,613,982,659,1024
301,149.0,302.0268456375839,497.32214765100673,295,491,310,505
302,299.0,959.7692307692307,605.0033444816054,951,594,969,618
303,131.0,518.5419847328244,43.85496183206107,513,38,526,51
304,99.0,887.4242424242424,642.1212121212121,882,636,893,649
305,731.0,1012.3844049247606,330.55403556771546,999,313,1024,348
306,685.0,564.4481751824818,390.58540145985404,548,376,580,405
307,315.0,62.38095238095238,49.05396825396826,53,39,73,59
308,353.0,606.2181303116147,455.4844192634561,593,447,619,467
309,82.0,628.6951219512196,258.4756097560976,624,254,635,264
310,168.0,564.6904761904761,301.4702380952381,560,292,572,314
311,948.0,218.25,857.8154008438819,199,839,241,879
312,529.0,25.092627599243855,42.35727788279773,13,23,40,56
313,709.0,531.5190409026799,659.6671368124119,507,650,555,671
314,724.0,501.3977900552486,817.6270718232045,485,804,518,832
315,325.0,914.3046153846154,649.1969230769231,902,642,928,657
316,884.0,146.93212669683257,369.2126696832579,135,347,160,392
317,248.0,568.1572580645161,506.8709677419355,557,499,579,515
318,61.0,627.4098360655738,432.91803278688525,624,429,632,438
319,614.0,805.6938110749186,570.7817589576547,793,557,821,585
320,383.0,939.0678851174935,611.7206266318537,927,600,951,624
321,216.0,446.6111111111111,284.06944444444446,439,276,455,293
322,80.0,1015.1125,626.3375,1010,622,1021,631
323,146.0,759.1438356164383,187.57534246575344,752,181,766,195
324,640.0,825.9328125,814.334375,809,801,847,827
325,680.0,516.9279411764705,131.82647058823528,500,120,538,146
326,67.0,702.1343283582089,141.55223880597015,698,137,707,147
327,318.0,594.6352201257862,484.437106918239,585,474,605,496
328,116.0,136.74137931034483,106.28448275862068,131,101,144,113
329,859.0,823.8114086146683,26.71711292200233,808,10,843,44
330,122.0,659.2704918032787,429.10655737704917,653,421,666,436
331,1570.0,1004.1127388535032,143.6471337579618,984,121,1024,169
332,73.0,486.3424657534247,428.73972602739724,482,424,492,435
333,533.0,763.8311444652908,582.7748592870544,750,566,778,598
334,1217.0,637.8898931799507,663.7074774034511,621,642,657,686
335,782.0,553.4194373401534,336.4015345268542,538,320,569,353
336,1126.0,734.3934280639431,970.4840142095915,714,953,755,988
337,695.0,647.1597122302159,722.5309352517986,628,711,668,734
338,982.0,311.5590631364562,695.2515274949084,293,679,331,714
339,109.0,268.9816513761468,1016.6788990825688,263,1011,278,1022
340,430.0,995.8953488372093,103.95116279069768,984,93,1008,115
341,120.0,1011.025,590.0166666666667,1005,584,1018,597
342,1269.0,142.05910165484633,640.4649330181245,118,616,169,666
343,698.0,851.5042979942693,895.7249283667621,837,878,869,911
344,1727.0,966.770121598147,444.8384481760278,942,422,991,466
345,146.0,966.9657534246576,551.6301369863014,961,545,974,560
346,88.0,525.4204545454545,847.7272727272727,521,842,531,854
347,108.0,376.4537037037037,957.9166666666666,371,952,383,964
348,495.0,32.91919191919192,71.83636363636364,21,58,46,88
349,1045.0,847.3665071770334,767.8813397129187,830,749,866,788
350,167.0,348.8502994011976,15.449101796407186,343,7,356,24
351,1369.0,855.2030679327977,183.90577063550037,831,165,882,205
352,834.0,910.2470023980816,1010.7913669064748,893,995,929,1024
353,137.0,692.6861313868613,520.5912408759124,687,514,700,528
354,436.0,10.745412844036696,736.2339449541284,0,725,25,747
355,61.0,671.983606557377,566.7704918032787,668,562,677,572
356,609.0,777.4055829228244,838.3661740558292,763,826,794,853
357,497.0,439.0321931589537,598.3340040241449,430,585,453,616
358,1296.0,673.0185185185185,19.338734567901234,655,0,694,43
359,63.0,921.5873015873016,848.1428571428571,917,844,927,853
360,164.0,373.1280487804878,359.2865853658537,367,351,380,368
361,337.0,181.7774480712166,867.9910979228487,171,859,193,878
362,341.0,891.7448680351906,982.0850439882698,877,971,907,993
363,68.0,689.5,180.76470588235293,685,177,695,186
364,1042.0,876.1948176583493,16.579654510556622,859,0,895,35
365,610.0,464.2770491803279,689.7114754098361,452,673,478,708
366,240.0,127.11666666666666,785.8916666666667,119,776,135,796
367,401.0,123.16957605985037,459.71072319201994,109,449,139,471
368,337.0,732.9673590504451,370.79228486646883,723,360,744,382
369,1025.0,732.4887804878049,531.0039024390244,714,514,749,551
370,75.0,986.4133333333333,595.9466666666667,982,592,992,601
371,502.0,651.2868525896414,879.6972111553785,636,869,666,891
372,512.0,646.453125,813.162109375,630,802,664,825
373,590.0,398.30169491525425,639.2203389830509,383,627,413,655
374,899.0,640.2291434927697,903.6462736373749,623,889,660,920
375,861.0,911.5249709639953,914.4982578397213,896,896,927,933
376,85.0,573.1176470588235,520.1764705882352,568,516,579,525
377,238.0,286.8151260504202,214.91176470588235,277,208,298,224
378,583.0,263.6106346483705,470.7358490566038,251,455,276,488
379,153.0,402.7647058823529,291.1111111111111,397,283,409,300
380,1174.0,663.8901192504259,851.2342419080068,636,837,690,866
381,900.0,835.1022222222222,1011.8688888888889,812,998,857,1024
382,889.0,362.1912260967379,415.1158605174353,350,394,376,437
383,97.0,430.25773195876286,569.8762886597938,425,565,436,577
384,449.0,577.619153674833,556.3006681514477,561,547,592,567
385,288.0,599.7465277777778,439.1076388888889,588,431,614,448
386,66.0,601.439393939394,515.4090909090909,596,512,607,520
387,276.0,591.0797101449275,187.06884057971016,581,180,604,197
388,267.0,168.43820224719101,580.7640449438202,158,572,178,591
389,223.0,140.3677130044843,118.80269058295964,133,109,148,129
390,232.0,467.4698275862069,15.275862068965518,461,6,476,26
391,501.0,792.816367265469,358.6367265469062,780,348,808,370
392,333.0,63.91591591591592,66.87987987987988,54,57,75,78
393,306.0,817.2156862745098,364.3267973856209,808,354,826,375
394,951.0,626.5057833859096,194.31019978969505,609,177,644,212
395,773.0,555.0232858990944,874.764553686934,540,860,573,892
396,54.0,271.14814814814815,359.3888888888889,267,356,276,364
397,699.0,476.13304721030045,603.071530758226,464,587,491,621
398,534.0,263.18913857677904,786.6516853932584,248,777,280,799
399,74.0,362.56756756756755,14.027027027027026,359,9,367,20
400,147.0,317.6734693877551,263.7278911564626,308,258,330,271
401,876.0,800.4851598173516,866.417808219178,779,852,824,881
402,79.0,628.3924050632911,271.9240506329114,623,268,634,278
403,1111.0,402.7686768676868,722.2952295229522,384,705,422,742
404,623.0,424.3707865168539,483.57142857142856,410,472,440,498
405,965.0,540.420725388601,817.2507772020725,522,800,560,836
406,55.0,664.8181818181819,116.30909090909091,660,113,671,120
407,777.0,541.6010296010296,367.35521235521236,523,353,560,382
408,611.0,721.885433715221,831.2291325695581,707,817,736,846
409,46.0,213.3913043478261,674.3478260869565,210,671,218,679
410,465.0,608.331182795699,689.5182795698925,596,678,621,702
411,109.0,565.348623853211,945.5963302752293,560,940,572,952
412,814.0,613.1953316953317,354.9275184275184,597,341,630,370
413,204.0,644.8823529411765,485.4950980392157,637,477,654,495
414,106.0,125.0,235.81132075471697,120,229,132,244
415,106.0,684.9056603773585,583.2735849056604,680,577,690,590
416,439.0,660.1617312072893,301.94305239179954,648,291,673,313
417,146.0,146.14383561643837,775.2328767123288,139,768,153,784
418,854.0,777.6440281030445,127.96370023419203,764,111,794,147
